name,free_returns,items_sold,price,status,shipping
"Vetoquinol Viralys Gel L-Lysine Supplement for Cats, 5oz ",False,7,1800,Brand New,0
James Herriot's Cat Stories - Hardcover By James Herriot - GOOD,True,,356,Pre-Owned,0
SUPER CATNIP Organic Dried Cut ~ FRESH ~ Cats Kitten 100% Premium Treat Bulk,True,528,595,Brand New,0
PUMA Men's Scuderia Ferrari Drift Cat Delta Motorsport Shoes,True,0,3499,Brand New,0
FRONTLINE Plus Flea and Tick Treatment for Cats 8doses,False,306,4599,Brand New,0
2023 Cats Full Size Wall Calendar,False,,1295,Brand New,0
"Pete the Cat: Trick or Pete - Paperback By Dean, James - GOOD",True,,467,Pre-Owned,0
Roblox Pet Simulator X - Huge Pixel Cat (100% NOT DUPED) Quickest Safest,False,59,350,Brand New,0
Disney Doorables Series 5 6 7 8 -You Pick- Easy Find List! US Seller~List 2 of 3,False,21,149,Pre-Owned,294
Pet Puppy Dog Cat Warm Sweater Vest Knitted Clothes Winter Coat Apparel Clothes,True,,788,New (Other),0
Dr. Seuss 10 book lot book collection hardcover birthday cat in the hat Horton,True,2576,1625,Pre-Owned,0
"2 Dinovite Lickochops with Omega 3, 6 & E for Dogs and Cats",False,,1600,Brand New,0
"54.5""Double Condo Cat Tree Tower Playing House and Scratching Post Tower",True,13,6000,Brand New,0
Crocs Men's and Women's Baya Clogs | Slip On Shoes | Waterproof Sandals,True,0,3499,Brand New,0
