name,free_returns,items_sold,price,status,shipping
Vtg Alexander White Artic Fox Fur & Black Leather Coat Russian Princess Small,False,0,50000,Pre-Owned,2135
Rare Animal Jam Artic Fox Plush,False,0,2998,Pre-Owned,0
"Wild Republic White Artic Fox 12"" Plush Solid White w Grey Feet Winter Display",False,,1200,Pre-Owned,675
Douglas Cuddle Toys Artic Fox White Snow Queen #1893 Stuffed Animal Toy ,False,,2200,Pre-Owned,685
"Fiesta 13"" Artic Fox White Fur  Plush Stuffed Animal Kids Toy Unisex Adult",False,,2249,Pre-Owned,700
Fur Vest Real Natural Artic Fox Fur Vest Coat Real Women Jacket Size S,False,,35000,Pre-Owned,2245
Wild Republic 12” Artic Wolf/Fox/Dog Soft Plush White Stuffed Animal Toy,False,,749,Pre-Owned,1115
Ganz Webkinz HM210 Artic Fox Plush - NO Code Stuffed Fluffy Animal,True,,1399,Pre-Owned,0
"European Full-Length Genuine Leather w/ Artic Fox Collar, hand Trim Coat & Hat",False,,55000,Pre-Owned,9172
"Unipak Artic Fox 12"" Plush Arctic Tag White Canine Stuffed Animal Dog Wolf Toy",False,,1500,Pre-Owned,1260
Artic Fox Korean Made Long Sleeve Jacket Large Acrylic/wool,False,,1799,Pre-Owned,1125
Safari LTD Artic Fox Animal Figure,True,,699,Pre-Owned,560
Fox Pair Cufflinks Silver Vulpes Artic Wedding Fancy Gift Box & Polishing Cloth,True,,1699,Brand New,0
Arctic Bay Down Goose Aurora parka jacket Big  fox fur made Canada  msrp1050$,False,,51373,Brand New,3326
Merrell Boots Womens 7 Artic Fox Pull Waterproof Black Leather Mid Calf Classic,True,,4369,Pre-Owned,1890
Ty Beanie Boos Frost Artic Fox 9” Plush Blue White Toy Walgreens Exclusive Rare,False,,17990,Pre-Owned,685
BUILD A BEAR WILDLIFE SERIES Artic FOX WITH OUTFIT - BOW EUC,False,,2250,Pre-Owned,650
"Women's parka with natural fox or bluefrost fur (S,M,L)",False,,36500,Brand New,0
"European Full-Length Genuine Leather w/ Artic Fox Collar, hand Trim Coat & Hat",False,,55000,Pre-Owned,9172
"Unipak Artic Fox 12"" Plush Arctic Tag White Canine Stuffed Animal Dog Wolf Toy",False,,1500,Pre-Owned,1260
Artic Fox Korean Made Long Sleeve Jacket Large Acrylic/wool,False,,1799,Pre-Owned,1125
Safari LTD Artic Fox Animal Figure,True,,699,Pre-Owned,560
vintage full length artic fox coat small/medium,False,,39500,Pre-Owned,2875
Large Genuine Fox Fur Jacket Artic Silver Valentine Furrier Dallas,False,,60000,Pre-Owned,2245
"Squishmallow Gracelynn Artic White Fox 8"" Plush Target Exc| 2020 Kelly Toys EUC",False,,1199,Pre-Owned,455
 Full-length Artic Marble Fox Fur Coat Tuxedo Collar Glamorous ,False,,600000,New (Other),1670
DISCOVERY CHANNEL Akur Soft White Arctic Fox Plush Stuffed Animal ,False,,2499,Pre-Owned,1710
"Khaki bomber jacket for women with natural fur of raccoon, bluefrost, arctic fox",False,,32000,Brand New,0
CASE COVER FOR GOOGLE PIXEL|ARTIC FOX 1,False,,640,Brand New,1030
Martha Stewart Mini Molded Glass Ornaments Artic Holiday Rabbit Fox Owl Fox Pola,False,,2795,Brand New,595
ARTIC FOX DENIM WINTER JACKET PARKA,False,,26000,New (Other),2220
"💝NEW💝 5inch Heidi Husky Dog Wolf Artic Fox Christmas | Brand New | 5"" Gift",False,0,1595,Brand New,0
BUILD A BEAR WILDLIFE SERIES Artic FOX TAN BROWN WITH DENIM SHORTS 3239,True,,2377,Pre-Owned,899
Target Squishmallows White Gracelyn the Arctic Fox Tie Dye Tummy Kellytoy 8”,True,,1199,Pre-Owned,425
National Geographic Kids Stuffed Toy Lot Artic Fox Beluga Whale Bengal Tiger 3”,True,,880,Pre-Owned,450
"NEW Squishmallow 12"" FALDETTE blue Artic FOX 2022 Kellytoy CUTE Plush Toy",False,,1599,Brand New,1735
"DISCOVERY CHANNEL 29"" Akur Soft White Arctic Fox Stuffed Plush Animal ",False,,4999,Pre-Owned,1292
2018 NATL GEOGRAPHIC KIDS MINIATURE ARCTIC FOX PLUSH (MA857),False,,899,Pre-Owned,0
"New  Squishmallow Gracelynn the Artic Fox 4.5"" ",False,,1499,Brand New,610
"Unipak Artic Fox 12"" Plush 2011 with Tag White Canine Brown Ears Stuffed Animal",False,,2140,Pre-Owned,0
"Realistic Plush White Artic Fox Discovery Channel 16"" Tall Stuffed Animal HTF",False,,1725,Pre-Owned,7630
"Jakks Pacific Animal Babies ARTIC FOX Doll 16"" Vinyl Stuffed Plush Baby Sound ",False,,4500,Pre-Owned,0
Artic Fox by John James Audubon Vintage Illustration Art Poster 20x30,False,,999,,695
Women's New Balance 860 V11 Artic Fox Running Shoe  *SIZE 8.5B ONLY    *W860W11,False,0,8999,New (Other),0
Women's New Balance 880 V11 Artic Fox (White) Running Shoe *W880A11,False,0,8999,New (Other),0
New Balance Womens W520rz3 Artic Fox/Black Running Shoes Size 5 (1864642),True,,3849,New (Other),0
RETRO 90S OFF WHITE REAL RABBIT FUR REAL ARTIC FOX COLLAR OVERLAP JACKET sz M,False,,8900,Pre-Owned,950
"Unipak Artic Fox 12"" Plush White Wolf Canine Stuffed Animal Dog Toy Lovey Puppy",False,,995,Pre-Owned,600
Wild Republic White Artic Fox 12” Stuffed Plush Animal w/Tags NEW  ,False,,1888,Brand New,2220
Overlook Bay ☆ Artic Fox x4,False,,399,Pre-Owned,
Squishville Six Mini Squishmallows Artic Squad,False,0,2895,Brand New,685
Vintage Natural Artic Silver Fox Fox Fur Coat  - Weinstocks Fine Furs Sxz s - lg,False,,50000,Pre-Owned,2000
Fur hat real silver fox and mink women's winter classic,True,,26500,Brand New,800
"5stars full skin Artic Fox  FUR throw,fur comforter,fox fur blanket,fur rug ",False,0,245000,Brand New,0
Wild Republic Artic Fox White 12” Plush Stuffed Animal Toy 12228 New with Tags ,False,,1999,Brand New,795
"Wild Republic Detroit Zoo Artic Fox White 12"" Plush Stuffed Animal",False,,1484,Pre-Owned,0
"Fiesta Arctic Fox Realistic Plush Toy Stuffed Animal 13"" vintage",False,,4995,Pre-Owned,0
2018 National Geographic Kids Artic Fox Miniature Stuffed Toy,False,,1150,Pre-Owned,660
Arctic Fox Trim Parka Size S,False,,69900,Brand New,2245
