name,free_returns,items_sold,price,status,shipping
CHEAP Adopt Me Pets Shop - MEGA NEON FLY RIDE MFR NFR FR,False,,268,Brand New,0
Petlab Co Probiotic Chews - for Dogs,False,,2400,Brand New,0
Anti Barking Automatic Dog Shock Training Collar Pet For Small Medium Large Dog,True,,895,Brand New,104
Flee Gone Fast 1hr results Control 50 Capsules Dog Cat 2-13lb Natural Supplement,True,,2499,Brand New,
PET SIMULATOR X (PSX) - Huge Dog CLEAN 100% (CHEAPEST&FAST),False,37,1050,Brand New,
PET SIMULATOR X (PSX) - Huge Crystal Dog CLEAN 100% (CHEAPEST&FAST),False,88,899,Brand New,
2800 FT Remote Dog Shock Training Collar Rechargeable Waterproof Pet Trainer,True,,2499,Brand New,0
Dog Pajamas Soft Warm FLEECE Jumpsuit Cute Pet Clothes for Small and Medium Pet,False,,899,Brand New,499
2pc Dog Training WHISTLE UltraSonic Obedience Stop Barking Pet Sound Pitch Black,True,,349,Brand New,0
100 Ct Dog Puppy 23x36 Pet Housebreaking Pad Pee Training Pads Underpads,True,0,2099,Brand New,
4 Leg Pet Dog Clothes Cat Puppy Coat Winter Hoodies Warm Sweater Jacket Clothing,False,,699,New (Other),0
Dog Pet Adjustable Nylon Collar Small Medium Large XL With Buckle Puppy,True,,698,Brand New,
Pet Dog Vest Jacket Warm Waterproof Clothes Winter Padded Puppy Coat Apparel,False,,1390,Brand New,
Dog Pet Harness Adjustable Control Vest Dogs Reflective XS S M L XL & Leash Set,False,41,835,Brand New,0
Dog Pet Harness Adjustable Control Vest Dogs Reflective XS S M L XL & Leash Set,False,68,883,Brand New,0
No Pull Pet Service Dog Vest Harness Handle Adjust. Control Reflective S M L XL,True,,1160,Brand New,
Reflective Dog Collar Pet Cat Puppy Nylon Collar with Bell Neck Adjustable,False,,345,Brand New,
Shop on eBay,False,,2000,Brand New,
"Wonder Paws Fish Oil For Dogs - Omega 3 For Dogs From Alaskan Salmon, Cod & Kril",False,,1695,Brand New,0
